Typ;Nr;Artikelnr;Artikelbez 1;Plangrp;Sollmenge;Istmenge;Kst Id;Beginn;Ende;
20;19621;712331;BIOPLAST 110/01;70/4+9B;27000;13200;ZSK 70/4;03.11.2022 14:50:00;04.11.2022 05:30:00;
20;19621;712331;BIOPLAST 110/01;70/4+9B;27000;13200;ZSK 70/9;03.11.2022 14:50:00;04.11.2022 05:30:00;
20;19621;712331;BIOPLAST 110/01;70/4+9B;27000;-13200;ZSK 70/4;03.11.2022 14:50:00;04.11.2022 05:30:00;
20;19621;712331;BIOPLAST 110/01;70/4+9B;27000;-13200;ZSK 70/9;03.11.2022 14:50:00;04.11.2022 05:30:00;
20;19621;712331;BIOPLAST 110/01;70/4+9B;27000;13200;ZSK 70/4;03.11.2022 14:50:00;04.11.2022 05:30:00;
20;19621;712331;BIOPLAST 110/01;70/4+9B;27000;13200;ZSK 70/9;03.11.2022 14:50:00;04.11.2022 05:30:00;
20;19621;712331;BIOPLAST 110/01;70/4+9B;27000;-13200;ZSK 70/9;03.11.2022 14:50:00;04.11.2022 05:30:00;
20;19621;712331;BIOPLAST 110/01;70/4+9B;27000;-13200;ZSK 70/4;03.11.2022 14:50:00;04.11.2022 05:30:00;
20;19621;712331;BIOPLAST 110/01;70/4+9B;27000;13200;ZSK 70/4;03.11.2022 14:50:00;04.11.2022 05:30:00;
20;19621;712331;BIOPLAST 110/01;70/4+9B;27000;13200;ZSK 70/9;03.11.2022 14:50:00;04.11.2022 05:30:00;
20;19621;712331;BIOPLAST 110/01;70/4+9B;27000;600;ZSK 70/4;12.11.2022 00:00:00;12.11.2022 00:00:00;
